State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1672551,56.47,41.59,1.1,0.84,944409,695602,18349,14191,0,14.88,AL,#fee5d9,1,#fee5d9,7.92
Alaska,3,0,285560,58.62,27.67,10.07,3.64,167398,79004,28747,10411,0,30.95,AK,#fb6a4a,3,#fee5d9,13.42
Arizona,8,0,1534113,50.95,44.67,2.98,1.4,781652,685341,45645,21475,0,6.28,AZ,#fee5d9,1,#eff3ff,8.51
Arkansas,6,0,921781,51.31,45.86,1.46,1.37,472940,422768,13421,12652,0,5.45,AR,#fee5d9,1,#bdd7e7,22.39
California,0,54,10965856,41.65,53.45,3.82,1.08,4567429,5861203,418707,118517,0,-11.8,CA,#bdd7e7,-2,#bdd7e7,1.09
Colorado,8,0,1741365,50.75,42.39,5.25,1.61,883745,738227,91434,27959,0,8.36,CO,#fee5d9,1,#fee5d9,6.99
Connecticut,0,8,1459525,38.44,55.91,4.42,1.23,561094,816015,64452,17964,0,-17.47,CT,#bdd7e7,-2,#bdd7e7,0.67
Delaware,0,3,327622,41.9,54.96,2.54,0.6,137288,180068,8307,1959,0,-13.06,DE,#bdd7e7,-2,#bdd7e7,2.18
D. C.,0,2,201894,8.95,85.16,5.24,0.65,18073,171923,10576,1322,0,-76.21,DC,#08519c,-5,#08519c,-0.36
Florida,25,0,5963110,48.85,48.84,1.63,0.68,2912790,2912253,97488,40579,0,0.01,FL,#fee5d9,1,#eff3ff,5.71
Georgia,13,0,2596804,54.67,42.98,0.52,1.83,1419720,1116230,13432,47422,0,11.69,GA,#fee5d9,1,#fee5d9,10.52
Hawaii,0,4,367951,37.46,55.79,5.88,0.87,137845,205286,21623,3197,0,-18.33,HI,#bdd7e7,-2,#6baed6,6.96
Idaho,4,0,501621,67.17,27.64,2.45,2.74,336937,138637,12292,13755,0,39.53,ID,#fb6a4a,3,#fee5d9,21.0
Illinois,0,22,4742123,42.58,54.6,2.19,0.63,2019421,2589026,103759,29917,0,-12.02,IL,#bdd7e7,-2,#bdd7e7,5.49
Indiana,12,0,2199302,56.65,41.01,0.84,1.5,1245836,901980,18531,32955,0,15.64,IN,#fee5d9,1,#fee5d9,10.06
Iowa,0,7,1315563,48.22,48.54,2.23,1.01,634373,638517,29374,13299,0,-0.32,IA,#eff3ff,-1,#bdd7e7,10.02
Kansas,6,0,1072216,58.04,37.24,3.37,1.35,622332,399276,36086,14522,0,20.8,KS,#fcae91,2,#fee5d9,2.59
Kentucky,8,0,1544187,56.5,41.37,1.5,0.63,872492,638898,23192,9605,0,15.13,KY,#fee5d9,1,#eff3ff,16.09
Louisiana,9,0,1765656,52.55,44.88,1.16,1.41,927871,792344,20473,24968,0,7.67,LA,#fee5d9,1,#bdd7e7,19.74
Maine,0,4,651817,43.97,49.09,5.7,1.24,286616,319951,37127,8123,0,-5.12,ME,#eff3ff,-1,#6baed6,15.74
Maryland,0,10,2025480,40.18,56.57,2.65,0.6,813797,1145782,53768,12133,0,-16.39,MD,#bdd7e7,-2,#bdd7e7,-0.41
Massachusetts,0,12,2702984,32.5,59.8,6.42,1.28,878502,1616487,173564,34431,0,-27.3,MA,#6baed6,-3,#3182bd,6.08
Michigan,0,18,4232711,46.14,51.28,1.99,0.59,1953139,2170418,84165,24989,0,-5.14,MI,#eff3ff,-1,#bdd7e7,8.07
Minnesota,0,10,2438685,45.5,47.91,5.2,1.39,1109659,1168266,126696,34064,0,-2.41,MN,#eff3ff,-1,#bdd7e7,13.73
Mississippi,7,0,994926,57.62,40.7,0.82,0.86,573230,404964,8126,8606,0,16.92,MS,#fee5d9,1,#fee5d9,11.79
