State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Missouri,11,0,2359892,50.42,47.08,1.63,0.87,1189924,1111138,38515,20315,0,3.34,MO,#fee5d9,1,#eff3ff,9.64
Montana,3,0,410997,58.44,33.36,5.95,2.25,240178,137126,24437,9256,0,25.08,MT,#fcae91,2,#fee5d9,22.2
Nebraska,5,0,697019,62.25,33.25,3.52,0.98,433862,231780,24540,6837,0,29.0,NE,#fcae91,2,#fee5d9,10.3
Nevada,4,0,608970,49.52,45.98,2.46,2.04,301575,279978,15008,12409,0,3.54,NV,#fee5d9,1,#eff3ff,4.56
New Hampshire,4,0,569081,48.07,46.8,3.9,1.23,273559,266348,22198,6976,0,1.27,NH,#fee5d9,1,#eff3ff,11.22
New Jersey,0,15,3187226,40.29,56.13,2.97,0.61,1284173,1788850,94554,19649,0,-15.84,NJ,#bdd7e7,-2,#bdd7e7,2.02
New Mexico,0,5,598605,47.85,47.91,3.55,0.69,286417,286783,21251,4154,0,-0.06,NM,#eff3ff,-1,#eff3ff,7.26
New York,0,33,6831178,35.22,60.22,3.58,0.98,2405676,4113791,244398,67313,0,-25.0,NY,#6baed6,-3,#6baed6,3.86
North Carolina,14,0,2911262,56.03,43.2,0.0,0.77,1631163,1257692,0,22407,0,12.83,NC,#fee5d9,1,#fee5d9,8.14
North Dakota,3,0,288267,60.66,33.05,3.29,3.0,174852,95284,9497,8634,0,27.61,ND,#fcae91,2,#fee5d9,20.8
Ohio,21,0,4705457,49.97,46.46,2.5,1.07,2351209,2186190,117857,50201,0,3.51,OH,#fee5d9,1,#eff3ff,9.87
Oklahoma,8,0,1234229,60.31,38.43,0.0,1.26,744337,474276,0,15616,0,21.88,OK,#fcae91,2,#fee5d9,14.07
Oregon,0,7,1533968,46.52,46.96,5.04,1.48,713577,720342,77357,22692,0,-0.44,OR,#eff3ff,-1,#eff3ff,7.65
Pennsylvania,0,23,4913119,46.43,50.6,2.1,0.87,2281127,2485967,103392,42633,0,-4.17,PA,#eff3ff,-1,#eff3ff,5.03
Rhode Island,0,4,409112,31.91,60.99,6.12,0.98,130555,249508,25052,3997,0,-29.08,RI,#6baed6,-3,#3182bd,3.81
South Carolina,8,0,1383777,56.83,40.91,1.47,0.79,786426,566039,20279,11033,0,15.92,SC,#fee5d9,1,#fee5d9,9.88
South Dakota,3,0,316269,60.3,37.56,0.0,2.14,190700,118804,0,6765,0,22.74,SD,#fcae91,2,#fee5d9,19.28
Tennessee,11,0,2076181,51.15,47.28,0.95,0.62,1061949,981720,19781,12731,0,3.87,TN,#fee5d9,1,#eff3ff,6.28
Texas,32,0,6407637,59.3,37.98,2.15,0.57,3799639,2433746,137994,36258,0,21.32,TX,#fcae91,2,#fee5d9,16.39
Utah,5,0,770754,66.83,26.34,4.65,2.18,515096,203053,35850,16755,0,40.49,UT,#de2d26,4,#fcae91,19.42
Vermont,0,3,294308,40.7,50.63,6.92,1.75,119775,149022,20374,5137,0,-9.93,VT,#eff3ff,-1,#6baed6,12.33
Virginia,13,0,2739447,52.47,44.44,2.17,0.92,1437490,1217290,59398,25269,0,8.03,VA,#fee5d9,1,#fee5d9,6.08
Washington,0,11,2488745,44.56,50.13,4.14,1.17,1108864,1247652,103002,29227,0,-5.57,WA,#eff3ff,-1,#bdd7e7,6.97
West Virginia,5,0,648124,51.92,45.59,1.65,0.84,336475,295497,10680,5472,0,6.33,WV,#fee5d9,1,#bdd7e7,21.08
Wisconsin,0,11,2598607,47.61,47.83,3.62,0.94,1237279,1242987,94070,24271,0,-0.22,WI,#eff3ff,-1,#bdd7e7,10.11
Wyoming,3,0,218351,67.76,27.7,2.12,2.42,147947,60481,4625,5298,0,40.06,WY,#de2d26,4,#fee5d9,27.09
