State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,11,0,294219,85.22,14.34,0.44,250726,42184,1309,0,0,0.0,-70.88,AL,#08519c,-5,#08519c,2.68
Arizona,3,0,150039,63.49,36.01,0.5,95267,54030,742,0,0,0.0,-27.48,AZ,#6baed6,-3,#08519c,15.44
Arkansas,9,0,200743,79.02,20.98,0.0,158622,42121,0,0,0,0.0,-58.04,AR,#08519c,-5,#08519c,5.9
California,22,0,3268791,57.44,41.34,1.22,1877618,1351419,39754,0,0,0.0,-16.1,CA,#bdd7e7,-2,#3182bd,19.15
Colorado,0,6,549004,48.37,50.92,0.71,265554,279576,3874,0,0,0.0,2.55,CO,#fee5d9,1,#6baed6,25.83
Connecticut,8,0,781502,53.44,46.3,0.26,417621,361819,2062,0,0,0.0,-7.14,CT,#eff3ff,-1,#bdd7e7,7.83
Delaware,3,0,136374,54.7,45.05,0.25,74599,61440,335,0,0,0.0,-9.65,DE,#eff3ff,-1,#eff3ff,0.12
Florida,7,0,485492,74.01,25.99,0.0,359334,126158,0,0,0,0.0,-48.02,FL,#08519c,-5,#08519c,4.16
Georgia,12,0,312551,84.85,14.83,0.32,265194,46360,997,0,0,0.0,-70.02,GA,#08519c,-5,#08519c,4.48
Idaho,4,0,235168,54.36,45.31,0.33,127842,106553,773,0,0,0.0,-9.05,ID,#eff3ff,-1,#6baed6,20.72
Illinois,29,0,4217935,50.97,48.54,0.49,2149934,2047240,20761,0,0,0.0,-2.43,IL,#eff3ff,-1,#bdd7e7,15.58
Indiana,0,14,1782747,49.03,50.45,0.52,874063,899466,9218,0,0,0.0,1.42,IN,#fee5d9,1,#bdd7e7,16.16
Iowa,0,11,1215430,47.62,52.03,0.35,578800,632370,4260,0,0,0.0,4.41,IA,#fee5d9,1,#bdd7e7,16.12
Kansas,0,9,860297,42.4,56.86,0.74,364725,489169,6403,0,0,0.0,14.46,KS,#fee5d9,1,#eff3ff,22.18
Kentucky,11,0,970163,57.45,42.3,0.25,557322,410384,2457,0,0,0.0,-15.15,KY,#bdd7e7,-2,#bdd7e7,3.44
Louisiana,10,0,372305,85.88,14.09,0.03,319751,52446,108,0,0,0.0,-71.79,LA,#08519c,-5,#08519c,5.87
Maine,0,5,320840,48.77,51.1,0.13,156478,163951,411,0,0,0.0,2.33,ME,#fee5d9,1,#fee5d9,-11.64
Maryland,8,0,660117,58.25,40.83,0.92,384546,269534,6037,0,0,0.0,-17.42,MD,#bdd7e7,-2,#6baed6,7.89
Massachusetts,17,0,2026993,53.11,46.36,0.53,1076522,939700,10771,0,0,0.0,-6.75,MA,#eff3ff,-1,#eff3ff,2.71
