State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,10,496871,39.39,56.52,4.09,195694,280844,20333,0,0,0.0,-17.13,AL,#bdd7e7,-2,#6baed6,12.4
Arizona,4,0,290173,60.99,38.9,0.11,176990,112880,303,0,0,0.0,22.09,AZ,#fcae91,2,#fee5d9,5.39
Arkansas,0,8,406572,45.82,52.46,1.72,186287,213277,7008,0,0,0.0,-6.64,AR,#eff3ff,-1,#bdd7e7,5.5
California,32,0,5466355,55.39,44.27,0.34,3027668,2420135,18552,0,0,0.0,11.12,CA,#fee5d9,1,#fee5d9,-3.44
Colorado,6,0,663074,59.49,39.81,0.7,394479,263997,4598,0,0,0.0,19.68,CO,#fee5d9,1,#fcae91,-1.63
Connecticut,8,0,1117121,63.72,36.26,0.02,711837,405079,205,0,0,0.0,27.46,CT,#fcae91,2,#fee5d9,15.67
Delaware,3,0,177988,55.09,44.62,0.29,98057,79421,510,0,0,0.0,10.47,DE,#fee5d9,1,#fee5d9,6.6
Florida,10,0,1124220,57.27,42.73,0.0,643849,480371,0,0,0,0.0,14.54,FL,#fee5d9,1,#fee5d9,4.52
Georgia,0,12,663480,32.65,66.48,0.87,216652,441094,5734,0,0,0.0,-33.83,GA,#3182bd,-4,#3182bd,5.49
Idaho,4,0,272989,61.17,38.78,0.05,166979,105868,142,0,0,0.0,22.39,ID,#fcae91,2,#fb6a4a,-8.61
Illinois,27,0,4407407,59.52,40.29,0.19,2623327,1775682,8398,0,0,0.0,19.23,IL,#fee5d9,1,#fee5d9,9.33
Indiana,13,0,1974607,59.9,39.7,0.4,1182811,783908,7888,0,0,0.0,20.2,IN,#fcae91,2,#fee5d9,3.08
Iowa,10,0,1234564,59.06,40.65,0.29,729187,501858,3519,0,0,0.0,18.41,IA,#fee5d9,1,#fcae91,-9.75
