State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Maryland,10,0,1675873,52.51,47.02,0.47,879918,787935,8020,0,0,0.0,5.49,MD,#fee5d9,1,#eff3ff,8.45
Massachusetts,13,0,2559453,51.22,48.43,0.35,1310936,1239606,8911,0,0,0.0,2.79,MA,#fee5d9,1,#fee5d9,2.64
Michigan,20,0,3801658,59.23,40.24,0.53,2251571,1529638,20449,0,0,0.0,18.99,MI,#fee5d9,1,#fee5d9,12.5
Minnesota,0,10,2084449,49.54,49.72,0.74,1032603,1036364,15482,0,0,0.0,-0.18,MN,#eff3ff,-1,#eff3ff,3.76
Mississippi,7,0,940192,61.85,37.46,0.69,581477,352192,6523,0,0,0.0,24.39,MS,#fcae91,2,#fee5d9,23.06
Missouri,11,0,2122771,60.02,39.98,0.0,1274188,848583,0,0,0,0.0,20.04,MO,#fcae91,2,#fee5d9,13.23
Montana,4,0,384377,60.47,38.18,1.35,232450,146742,5185,0,0,0.0,22.29,MT,#fcae91,2,#fcae91,-2.1
Nebraska,5,0,652090,70.55,28.81,0.64,460054,187866,4170,0,0,0.0,41.74,NE,#de2d26,4,#fb6a4a,2.25
Nevada,4,0,286667,65.85,31.97,2.18,188770,91655,6242,0,0,0.0,33.88,NV,#fb6a4a,3,#fb6a4a,-1.77
New Hampshire,4,0,388954,68.66,30.95,0.39,267051,120395,1508,0,0,0.0,37.71,NH,#fb6a4a,3,#fcae91,8.32
New Jersey,16,0,3217862,60.09,39.2,0.71,1933630,1261323,22909,0,0,0.0,20.89,NJ,#fcae91,2,#fee5d9,7.48
New Mexico,5,0,514370,59.7,39.23,1.07,307101,201769,5500,0,0,0.0,20.47,NM,#fcae91,2,#fee5d9,2.28
New York,36,0,6806810,53.84,45.83,0.33,3664763,3119609,22438,0,0,0.0,8.01,NY,#fee5d9,1,#fee5d9,5.34
North Carolina,13,0,2175361,61.9,37.89,0.21,1346481,824287,4593,0,0,0.0,24.01,NC,#fcae91,2,#fee5d9,21.89
North Dakota,3,0,308971,64.84,33.8,1.36,200336,104429,4206,0,0,0.0,31.04,ND,#fb6a4a,3,#fb6a4a,-6.93
Ohio,23,0,4547619,58.9,40.14,0.96,2678560,1825440,43619,0,0,0.0,18.76,OH,#fee5d9,1,#fee5d9,8.16
Oklahoma,8,0,1255676,68.61,30.67,0.72,861530,385080,9066,0,0,0.0,37.94,OK,#fb6a4a,3,#fcae91,12.41
Oregon,7,0,1226527,55.91,43.74,0.35,685700,536479,4348,0,0,0.0,12.17,OR,#fee5d9,1,#fee5d9,2.51
Pennsylvania,25,0,4844903,53.34,45.99,0.67,2584323,2228131,32449,0,0,0.0,7.35,PA,#fee5d9,1,#fee5d9,0.24
Rhode Island,4,0,410492,51.66,48.02,0.32,212080,197106,1306,0,0,0.0,3.64,RI,#fee5d9,1,#bdd7e7,14.11
South Carolina,8,0,968540,63.55,35.57,0.88,615539,344470,8531,0,0,0.0,27.98,SC,#fcae91,2,#fee5d9,26.45
South Dakota,3,0,317867,63.0,36.53,0.47,200267,116113,1487,0,0,0.0,26.47,SD,#fcae91,2,#fcae91,-2.37
Tennessee,11,0,1711993,57.84,41.57,0.59,990212,711714,10067,0,0,0.0,16.27,TN,#fee5d9,1,#fee5d9,15.98
Texas,29,0,5397571,63.61,36.11,0.28,3433428,1949276,14867,0,0,0.0,27.5,TX,#fcae91,2,#fee5d9,13.64
Utah,5,0,629656,74.5,24.68,0.82,469105,155369,5182,0,0,0.0,49.82,UT,#de2d26,4,#a50f15,-2.38
Vermont,3,0,234561,57.92,40.81,1.27,135865,95730,2966,0,0,0.0,17.11,VT,#fee5d9,1,#fee5d9,11.15
Virginia,12,0,2146635,62.29,37.09,0.62,1337078,796250,13307,0,0,0.0,25.2,VA,#fcae91,2,#fee5d9,12.48
Washington,10,0,1883910,55.82,42.86,1.32,1051670,807352,24888,0,0,0.0,12.96,WA,#fee5d9,1,#fee5d9,0.62
West Virginia,6,0,735742,55.11,44.6,0.29,405483,328125,2134,0,0,0.0,10.51,WV,#fee5d9,1,#eff3ff,15.02
Wisconsin,11,0,2212016,54.19,45.02,0.79,1198800,995847,17369,0,0,0.0,9.17,WI,#fee5d9,1,#fee5d9,4.45
Wyoming,3,0,188968,70.51,28.24,1.25,133241,53370,2357,0,0,0.0,42.27,WY,#de2d26,4,#fb6a4a,7.6
