State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1441713,60.54,38.28,1.18,872849,551899,16965,0,0,0.0,22.26,AL,#fcae91,2,#fee5d9,20.96
Alaska,3,0,207605,66.65,29.87,3.48,138377,62007,7221,0,0,0.0,36.78,AK,#fb6a4a,3,#fcae91,8.84
Arizona,7,0,1025897,66.42,32.54,1.04,681416,333854,10627,0,0,0.0,33.88,AZ,#fb6a4a,3,#fb6a4a,1.51
Arkansas,6,0,884406,60.47,38.29,1.24,534774,338646,10986,0,0,0.0,22.18,AR,#fcae91,2,#fee5d9,21.57
California,47,0,9505423,57.51,41.27,1.22,5467009,3922519,115895,0,0,0.0,16.24,CA,#fee5d9,1,#fee5d9,-0.54
Colorado,8,0,1295381,63.44,35.12,1.44,821818,454974,18589,0,0,0.0,28.32,CO,#fcae91,2,#fcae91,4.32
Connecticut,8,0,1466900,60.73,38.83,0.44,890877,569597,6426,0,0,0.0,21.9,CT,#fcae91,2,#fee5d9,12.26
Delaware,3,0,254572,59.78,39.93,0.29,152190,101656,726,0,0,0.0,19.85,DE,#fee5d9,1,#fee5d9,17.51
D. C.,0,3,211288,13.73,85.38,0.89,29009,180408,1871,0,0,0.0,-71.65,DC,#08519c,-5,#08519c,-10.17
Florida,21,0,4180051,65.32,34.66,0.02,2730350,1448816,885,0,0,0.0,30.66,FL,#fb6a4a,3,#fee5d9,13.64
Georgia,12,0,1776093,60.17,39.79,0.04,1068722,706628,743,0,0,0.0,20.38,GA,#fcae91,2,#bdd7e7,35.19
Hawaii,4,0,335846,55.1,43.82,1.08,185050,147154,3642,0,0,0.0,11.28,HI,#fee5d9,1,#eff3ff,13.18
Idaho,4,0,411144,72.36,26.39,1.25,297523,108510,5111,0,0,0.0,45.97,ID,#de2d26,4,#de2d26,4.7
Illinois,24,0,4819088,56.17,43.3,0.53,2707103,2086499,25486,0,0,0.0,12.87,IL,#fee5d9,1,#fee5d9,4.94
Indiana,12,0,2233069,61.67,37.68,0.65,1377230,841481,14358,0,0,0.0,23.99,IN,#fcae91,2,#fee5d9,5.63
Iowa,8,0,1319805,53.27,45.89,0.84,703088,605620,11097,0,0,0.0,7.38,IA,#fee5d9,1,#fee5d9,-5.33
Kansas,7,0,1021991,66.27,32.6,1.13,677296,333149,11546,0,0,0.0,33.67,KS,#fb6a4a,3,#fcae91,9.11
Kentucky,9,0,1370461,60.04,39.37,0.59,822782,539589,8090,0,0,0.0,20.67,KY,#fcae91,2,#fee5d9,19.21
Louisiana,10,0,1706822,60.77,38.18,1.05,1037299,651586,17937,0,0,0.0,22.59,LA,#fcae91,2,#fee5d9,17.14
Maine,4,0,553144,60.83,38.78,0.39,336500,214515,2129,0,0,0.0,22.05,ME,#fcae91,2,#fee5d9,18.69
