State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
New Hampshire,4,0,272950,60.92,39.08,0.0,166287,106663,0,0,0,0.0,21.84,NH,#fcae91,2,#fee5d9,16.09
New Jersey,16,0,2419554,56.81,41.99,1.2,1374613,1015902,29039,0,0,0.0,14.82,NJ,#fee5d9,1,#fee5d9,10.42
New Mexico,4,0,238608,55.39,44.28,0.33,132170,105661,777,0,0,0.0,11.11,NM,#fee5d9,1,#bdd7e7,24.56
New York,45,0,7128241,55.45,43.55,1.0,3952815,3104601,70825,0,0,0.0,11.9,NY,#fee5d9,1,#fee5d9,10.92
North Carolina,0,14,1210910,46.09,53.91,0.0,558107,652803,0,0,0,0.0,-7.82,NC,#eff3ff,-1,#6baed6,17.52
North Dakota,4,0,270127,70.97,28.39,0.64,191712,76694,1721,0,0,0.0,42.58,ND,#de2d26,4,#fee5d9,33.82
Ohio,25,0,3700758,56.76,43.24,0.0,2100391,1600367,0,0,0,0.0,13.52,OH,#fee5d9,1,#eff3ff,13.76
Oklahoma,8,0,948984,54.59,45.41,0.0,518045,430939,0,0,0,0.0,9.18,OK,#fee5d9,1,#6baed6,34.68
Oregon,6,0,695059,60.54,38.93,0.53,420815,270579,3665,0,0,0.0,21.61,OR,#fcae91,2,#fee5d9,18.23
Pennsylvania,32,0,4580969,52.74,46.85,0.41,2415789,2146269,18911,0,0,0.0,5.89,PA,#fee5d9,1,#fee5d9,1.88
Rhode Island,4,0,414498,50.89,49.05,0.06,210935,203293,270,0,0,0.0,1.84,RI,#fee5d9,1,#bdd7e7,17.99
South Carolina,0,8,341086,49.28,50.72,0.0,168082,173004,0,0,0,0.0,-1.44,SC,#eff3ff,-1,#74c476,18.92
South Dakota,4,0,294283,69.27,30.73,0.0,203857,90426,0,0,0,0.0,38.54,SD,#fb6a4a,3,#fee5d9,33.74
Tennessee,11,0,892553,49.99,49.71,0.3,446147,443710,2696,0,0,0.0,0.28,TN,#fee5d9,1,#bdd7e7,12.55
Texas,24,0,2075946,53.13,46.69,0.18,1102878,969228,3840,0,0,0.0,6.44,TX,#fee5d9,1,#08519c,48.11
Utah,4,0,329554,58.93,41.07,0.0,194190,135364,0,0,0,0.0,17.86,UT,#fee5d9,1,#eff3ff,26.82
Vermont,3,0,153557,71.45,28.23,0.32,109717,43355,485,0,0,0.0,43.22,VT,#de2d26,4,#fcae91,18.6
Virginia,12,0,619689,56.32,43.36,0.32,349037,268677,1975,0,0,0.0,12.96,VA,#fee5d9,1,#eff3ff,19.81
Washington,9,0,1102708,54.33,44.69,0.98,599107,492845,10756,0,0,0.0,9.64,WA,#fee5d9,1,#eff3ff,19.57
West Virginia,0,8,873548,48.08,51.92,0.0,419970,453578,0,0,0,0.0,-3.84,WV,#eff3ff,-1,#bdd7e7,11.24
Wisconsin,12,0,1607370,60.95,38.71,0.34,979744,622175,5451,0,0,0.0,22.24,WI,#fcae91,2,#eff3ff,26.66
Wyoming,3,0,129251,62.71,37.09,0.2,81047,47934,270,0,0,0.0,25.62,WY,#fcae91,2,#eff3ff,29.97
D. C.,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,DC,#fee5d9,1,#fee5d9,0.0
Alaska,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,AK,#fee5d9,1,#fee5d9,0.0
Hawaii,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,HI,#fee5d9,1,#fee5d9,0.0
