State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,11,426120,35.02,64.55,0.43,149231,275075,1814,0,0,0.0,-29.53,AL,#6baed6,-3,#74c476,-48.57
Arizona,4,0,260570,58.35,41.65,0.0,152042,108528,0,0,0,0.0,16.7,AZ,#fee5d9,1,#eff3ff,26.67
Arkansas,0,8,404800,43.76,55.9,0.34,177155,226300,1345,0,0,0.0,-12.14,AR,#bdd7e7,-2,#08519c,28.56
California,32,0,5341603,56.83,42.27,0.9,3035587,2257646,48370,0,0,0.0,14.56,CA,#fee5d9,1,#eff3ff,15.0
Colorado,6,0,630103,60.27,38.96,0.77,379782,245504,4817,0,0,0.0,21.31,CO,#fcae91,2,#eff3ff,26.67
Connecticut,8,0,1096911,55.7,43.91,0.39,611012,481649,4250,0,0,0.0,11.79,CT,#fee5d9,1,#fee5d9,10.15
Delaware,3,0,174025,51.75,47.88,0.37,90059,83315,651,0,0,0.0,3.87,DE,#fee5d9,1,#fee5d9,2.59
Florida,10,0,989337,54.99,44.97,0.04,544036,444950,351,0,0,0.0,10.02,FL,#fee5d9,1,#bdd7e7,25.21
Georgia,0,12,655803,30.34,69.66,0.0,198979,456823,1,0,0,0.0,-39.32,GA,#3182bd,-4,#08519c,3.18
Idaho,4,0,276231,65.42,34.42,0.16,180707,95081,443,0,0,0.0,31.0,ID,#fb6a4a,3,#eff3ff,33.72
Illinois,27,0,4481058,54.84,44.94,0.22,2457327,2013920,9811,0,0,0.0,9.9,IL,#fee5d9,1,#eff3ff,10.75
Indiana,13,0,1955325,58.11,40.99,0.9,1136259,801530,17536,0,0,0.0,17.12,IN,#fee5d9,1,#fee5d9,16.32
Iowa,10,0,1268773,63.75,35.59,0.66,808906,451513,8354,0,0,0.0,28.16,IA,#fcae91,2,#eff3ff,30.89
Kansas,8,0,896166,68.77,30.5,0.73,616302,273296,6568,0,0,0.0,38.27,KS,#fb6a4a,3,#fee5d9,29.25
Kentucky,0,10,993148,49.84,49.91,0.25,495029,495729,2390,0,0,0.0,-0.07,KY,#eff3ff,-1,#bdd7e7,15.19
Louisiana,0,10,651952,47.08,52.92,0.0,306925,345027,0,0,0,0.0,-5.84,LA,#eff3ff,-1,#74c476,9.46
Maine,5,0,351786,66.05,33.77,0.18,232353,118806,627,0,0,0.0,32.28,ME,#fb6a4a,3,#fee5d9,17.81
Maryland,9,0,902074,55.36,43.83,0.81,499424,395337,7313,0,0,0.0,11.53,MD,#fee5d9,1,#fee5d9,10.14
Massachusetts,16,0,2383398,54.22,45.46,0.32,1292325,1083525,7548,0,0,0.0,8.76,MA,#fee5d9,1,#bdd7e7,20.26
Michigan,20,0,2798592,55.44,43.97,0.59,1551529,1230657,16406,0,0,0.0,11.47,MI,#fee5d9,1,#fee5d9,9.81
Minnesota,11,0,1379483,55.33,44.11,0.56,763211,608458,7814,0,0,0.0,11.22,MN,#fee5d9,1,#bdd7e7,28.49
Mississippi,0,8,285532,39.56,60.44,0.0,112966,172566,0,0,0,0.0,-20.88,MS,#6baed6,-3,#74c476,-13.41
Missouri,13,0,1892062,50.71,49.14,0.15,959429,929830,2803,0,0,0.0,1.57,MO,#fee5d9,1,#bdd7e7,18.19
Montana,4,0,265037,59.39,40.07,0.54,157394,106213,1430,0,0,0.0,19.32,MT,#fee5d9,1,#eff3ff,29.26
Nebraska,6,0,609660,69.15,30.85,0.0,421603,188057,0,0,0,0.0,38.3,NE,#fb6a4a,3,#fee5d9,30.0
Nevada,3,0,82190,61.45,38.55,0.0,50502,31688,0,0,0,0.0,22.9,NV,#fcae91,2,#eff3ff,26.01
