State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
South Dakota,3,0,323826,46.49,43.03,9.65,0.83,150543,139333,31250,2700,0,3.46,SD,#fee5d9,1,#fee5d9,-0.06
Tennessee,0,11,1894105,45.59,48.0,5.59,0.82,863530,909146,105918,15511,0,-2.41,TN,#eff3ff,-1,#eff3ff,2.24
Texas,32,0,5611644,48.76,43.83,6.75,0.66,2736167,2459683,378537,37257,0,4.93,TX,#fee5d9,1,#fee5d9,1.45
Utah,5,0,665629,54.37,33.3,9.98,2.35,361911,221633,66461,15624,0,21.07,UT,#fcae91,2,#fee5d9,2.36
Vermont,0,3,258449,31.09,53.35,12.0,3.56,80352,137894,31024,9179,0,-22.26,VT,#6baed6,-3,#bdd7e7,-6.57
Virginia,13,0,2416642,47.1,45.15,6.62,1.13,1138350,1091060,159861,27371,0,1.95,VA,#fee5d9,1,#fee5d9,-2.43
Washington,0,11,2253837,37.3,49.84,8.92,3.94,840712,1123323,201003,88799,0,-12.54,WA,#bdd7e7,-2,#bdd7e7,-1.1
West Virginia,0,5,636459,36.76,51.51,11.26,0.47,233946,327812,71639,3062,0,-14.75,WV,#bdd7e7,-2,#bdd7e7,-1.73
Wisconsin,0,11,2196169,38.48,48.81,10.35,2.36,845029,1071971,227339,51830,0,-10.33,WI,#bdd7e7,-2,#eff3ff,-5.98
Wyoming,3,0,211571,49.81,36.84,12.25,1.1,105388,77934,25928,2321,0,12.97,WY,#fee5d9,1,#fee5d9,7.39
