State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,9,2074338,38.36,60.55,1.09,795696,1255925,22717,0,0,0.0,22.19,AL,#fcae91,2,#fcae91,0.61
Alaska,0,3,300495,40.81,54.8,4.39,122640,164676,13179,0,0,0.0,13.99,AK,#fee5d9,1,#fcae91,-7.54
Arizona,0,11,2306559,44.45,53.48,2.07,1025232,1233654,47673,0,0,0.0,9.03,AZ,#fee5d9,1,#fee5d9,0.55
Arkansas,0,6,1069468,36.88,60.57,2.55,394409,647744,27315,0,0,0.0,23.69,AR,#fcae91,2,#fee5d9,3.83
California,55,0,13055815,60.16,37.07,2.77,7854285,4839958,361572,0,0,0.0,-23.09,CA,#6baed6,-3,#6baed6,0.93
Colorado,9,0,2571846,51.45,46.09,2.46,1323102,1185243,63501,0,0,0.0,-5.36,CO,#eff3ff,-1,#eff3ff,3.59
Connecticut,7,0,1558993,58.06,40.72,1.22,905109,634899,18985,0,0,0.0,-17.34,CT,#bdd7e7,-2,#6baed6,5.03
Delaware,3,0,413921,58.61,39.98,1.41,242584,165484,5853,0,0,0.0,-18.63,DE,#bdd7e7,-2,#6baed6,6.35
D. C.,3,0,293764,90.91,7.28,1.81,267070,21381,5313,0,0,0.0,-83.63,DC,#08519c,-5,#08519c,2.3
Florida,29,0,8492175,49.9,49.03,1.07,4237756,4163447,90972,0,0,0.0,-0.87,FL,#eff3ff,-1,#eff3ff,1.94
Georgia,0,16,3908369,45.39,53.19,1.42,1773827,2078688,55854,0,0,0.0,7.8,GA,#fee5d9,1,#fee5d9,2.6
Hawaii,4,0,434697,70.55,27.84,1.61,306658,121015,7024,0,0,0.0,-42.71,HI,#08519c,-5,#08519c,2.56
Idaho,0,4,656742,32.4,64.09,3.51,212787,420911,23044,0,0,0.0,31.69,ID,#fb6a4a,3,#fcae91,6.39
Illinois,20,0,5251432,57.5,40.66,1.84,3019512,2135216,96704,0,0,0.0,-16.84,IL,#bdd7e7,-2,#6baed6,8.26
Indiana,0,11,2633143,43.84,54.04,2.12,1154275,1422872,55996,0,0,0.0,10.2,IN,#fee5d9,1,#eff3ff,11.23
Iowa,6,0,1582180,51.99,46.18,1.83,822544,730617,29019,0,0,0.0,-5.81,IA,#eff3ff,-1,#eff3ff,3.73
Kansas,0,6,1157532,38.0,59.59,2.41,439908,689809,27815,0,0,0.0,21.59,KS,#fcae91,2,#fee5d9,6.66
Kentucky,0,8,1798048,37.78,60.47,1.75,679370,1087190,31488,0,0,0.0,22.69,KY,#fcae91,2,#fee5d9,6.47
Louisiana,0,8,1994065,40.58,57.78,1.64,809141,1152262,32662,0,0,0.0,17.2,LA,#fee5d9,1,#fee5d9,-1.43
Maine,4,0,713180,56.27,40.98,2.75,401306,292276,19598,0,0,0.0,-15.29,ME,#bdd7e7,-2,#bdd7e7,2.04
Maryland,10,0,2707327,61.97,35.9,2.13,1677844,971869,57614,0,0,0.0,-26.07,MD,#6baed6,-3,#6baed6,-0.62
Massachusetts,11,0,3167767,60.67,37.52,1.81,1921761,1188460,57546,0,0,0.0,-23.15,MA,#6baed6,-3,#6baed6,2.66
Michigan,16,0,4745316,54.04,44.58,1.38,2564569,2115256,65491,0,0,0.0,-9.46,MI,#eff3ff,-1,#bdd7e7,6.98
Minnesota,10,0,2936561,52.65,44.96,2.39,1546167,1320225,70169,0,0,0.0,-7.69,MN,#eff3ff,-1,#bdd7e7,2.55
Mississippi,0,6,1285584,43.79,55.29,0.92,562949,710746,11889,0,0,0.0,11.5,MS,#fee5d9,1,#fee5d9,-1.67
Missouri,0,10,2763689,44.28,53.64,2.08,1223796,1482440,57453,0,0,0.0,9.36,MO,#fee5d9,1,#fee5d9,9.23
Montana,0,3,484484,41.66,55.3,3.04,201839,267928,14717,0,0,0.0,13.64,MT,#fee5d9,1,#fee5d9,11.26
Nebraska,0,5,794379,38.03,59.8,2.17,302081,475064,17234,0,0,0.0,21.77,NE,#fcae91,2,#fee5d9,6.84
Nevada,6,0,1014918,52.36,45.68,1.96,531373,463567,19978,0,0,0.0,-6.68,NV,#eff3ff,-1,#bdd7e7,5.82
New Hampshire,4,0,710972,51.98,46.4,1.62,369561,329918,11493,0,0,0.0,-5.58,NH,#eff3ff,-1,#eff3ff,4.03
New Jersey,14,0,3651140,58.25,40.5,1.25,2126610,1478749,45781,0,0,0.0,-17.75,NJ,#bdd7e7,-2,#bdd7e7,-2.22
New Mexico,5,0,783757,52.99,42.84,4.17,415335,335788,32634,0,0,0.0,-10.15,NM,#bdd7e7,-2,#bdd7e7,4.98
New York,29,0,7081536,63.35,35.17,1.48,4485877,2490496,105163,0,0,0.0,-28.18,NY,#6baed6,-3,#6baed6,-1.33
North Carolina,0,15,4505372,48.35,50.39,1.26,2178391,2270395,56586,0,0,0.0,2.04,NC,#fee5d9,1,#eff3ff,2.36
North Dakota,0,3,322627,38.69,58.32,2.99,124827,188163,9637,0,0,0.0,19.63,ND,#fee5d9,1,#fee5d9,10.98
Ohio,18,0,5590934,50.58,47.6,1.82,2827709,2661437,101788,0,0,0.0,-2.98,OH,#eff3ff,-1,#eff3ff,1.6
Oklahoma,0,7,1334872,33.23,66.77,0.0,443547,891325,0,0,0,0.0,33.54,OK,#fb6a4a,3,#fb6a4a,2.24
Oregon,7,0,1789270,54.24,42.15,3.61,970488,754175,64607,0,0,0.0,-12.09,OR,#bdd7e7,-2,#bdd7e7,4.26
Pennsylvania,20,0,5755620,51.95,46.57,1.48,2990274,2680434,84912,0,0,0.0,-5.38,PA,#eff3ff,-1,#bdd7e7,4.94
Rhode Island,4,0,446049,62.7,35.24,2.06,279677,157204,9168,0,0,0.0,-27.46,RI,#6baed6,-3,#6baed6,0.34
South Carolina,0,9,1964118,44.09,54.56,1.35,865941,1071645,26532,0,0,0.0,10.47,SC,#fee5d9,1,#fee5d9,1.5
South Dakota,0,3,363815,39.87,57.89,2.24,145039,210610,8166,0,0,0.0,18.02,SD,#fee5d9,1,#fee5d9,9.61
Tennessee,0,11,2460904,39.04,59.42,1.54,960709,1462330,37865,0,0,0.0,20.38,TN,#fcae91,2,#fee5d9,5.32
Texas,0,38,7999657,41.35,57.13,1.52,3308124,4569843,121690,0,0,0.0,15.78,TX,#fee5d9,1,#fee5d9,4.03
Utah,0,6,1020861,24.67,72.55,2.78,251813,740600,28448,0,0,0.0,47.88,UT,#de2d26,4,#fcae91,19.9
Vermont,3,0,299290,66.57,30.97,2.46,199239,92698,7353,0,0,0.0,-35.6,VT,#3182bd,-4,#3182bd,1.41
Virginia,13,0,3854489,51.16,47.28,1.56,1971820,1822522,60147,0,0,0.0,-3.88,VA,#eff3ff,-1,#eff3ff,2.42
Washington,12,0,3145958,55.8,41.03,3.17,1755396,1290670,99892,0,0,0.0,-14.77,WA,#bdd7e7,-2,#bdd7e7,2.31
West Virginia,0,5,672119,35.45,62.14,2.41,238269,417655,16195,0,0,0.0,26.69,WV,#fcae91,2,#fee5d9,13.6
Wisconsin,10,0,3068434,52.83,45.89,1.28,1620985,1407966,39483,0,0,0.0,-6.94,WI,#eff3ff,-1,#bdd7e7,6.97
Wyoming,0,3,249061,27.82,68.64,3.54,69286,170962,8813,0,0,0.0,40.82,WY,#de2d26,4,#fb6a4a,8.58
