State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,2099819,60.32,38.74,0.94,1266546,813479,19794,0,0,0.0,21.58,AL,#fcae91,2,#fcae91,-4.04
Alaska,3,0,326197,59.42,37.89,2.69,193841,123594,8762,0,0,0.0,21.53,AK,#fcae91,2,#fcae91,-4.02
Arizona,10,0,2303838,53.39,44.91,1.7,1230111,1034707,39020,0,0,0.0,8.48,AZ,#fee5d9,1,#fee5d9,-1.97
Arkansas,6,0,1086617,58.72,38.86,2.42,638017,422310,26290,0,0,0.0,19.86,AR,#fee5d9,1,#fee5d9,10.1
California,0,55,13583083,36.9,60.92,2.18,5011781,8274473,296829,0,0,0.0,-24.02,CA,#6baed6,-3,#eff3ff,-14.08
Colorado,0,9,2401462,44.71,53.66,1.63,1073629,1288633,39200,0,0,0.0,-8.95,CO,#eff3ff,-1,#fee5d9,-13.62
Connecticut,0,7,1646793,38.22,60.59,1.19,629428,997773,19592,0,0,0.0,-22.37,CT,#6baed6,-3,#bdd7e7,-12.01
Delaware,0,3,412616,36.93,61.91,1.16,152374,255459,4783,0,0,0.0,-24.98,DE,#6baed6,-3,#eff3ff,-17.38
D. C.,0,3,265853,6.53,92.46,1.01,17367,245800,2686,0,0,0.0,-85.93,DC,#08519c,-5,#08519c,-6.09
Florida,0,27,8412248,48.1,50.91,0.99,4046219,4282367,83662,0,0,0.0,-2.81,FL,#eff3ff,-1,#fee5d9,-7.82
Georgia,15,0,3932158,52.1,46.9,1.0,2048759,1844123,39276,0,0,0.0,5.2,GA,#fee5d9,1,#fee5d9,-11.39
Hawaii,0,4,453568,26.58,71.85,1.57,120566,325871,7131,0,0,0.0,-45.27,HI,#08519c,-5,#eff3ff,-36.52
Idaho,4,0,658454,61.21,35.91,2.88,403012,236440,19002,0,0,0.0,25.3,ID,#fcae91,2,#fb6a4a,-12.82
Illinois,0,21,5530179,36.73,61.83,1.44,2031179,3419348,79652,0,0,0.0,-25.1,IL,#6baed6,-3,#bdd7e7,-14.76
Indiana,0,11,2756658,48.81,49.84,1.35,1345648,1374039,36971,0,0,0.0,-1.03,IN,#eff3ff,-1,#fcae91,-21.71
Iowa,0,7,1537123,44.39,53.93,1.68,682379,828940,25804,0,0,0.0,-9.54,IA,#eff3ff,-1,#fee5d9,-10.21
Kansas,6,0,1238873,56.48,41.55,1.97,699655,514765,24453,0,0,0.0,14.93,KS,#fee5d9,1,#fcae91,-10.45
Kentucky,8,0,1827587,57.37,41.15,1.48,1048462,751985,27140,0,0,0.0,16.22,KY,#fee5d9,1,#fee5d9,-3.64
Louisiana,9,0,1960761,58.56,39.93,1.51,1148275,782989,29497,0,0,0.0,18.63,LA,#fee5d9,1,#fee5d9,4.13
Maine,0,4,731163,40.38,57.71,1.91,295273,421923,13967,0,0,0.0,-17.33,ME,#bdd7e7,-2,#eff3ff,-8.34
Maryland,0,10,2631596,36.47,61.92,1.61,959862,1629467,42267,0,0,0.0,-25.45,MD,#6baed6,-3,#bdd7e7,-12.47
Massachusetts,0,12,3081069,35.99,61.8,2.21,1108854,1904098,68117,0,0,0.0,-25.81,MA,#6baed6,-3,#6baed6,-0.65
Michigan,0,17,5010606,40.89,57.33,1.78,2048639,2872579,89388,0,0,0.0,-16.44,MI,#bdd7e7,-2,#eff3ff,-13.02
Minnesota,0,10,2910369,43.82,54.06,2.12,1275409,1573354,61606,0,0,0.0,-10.24,MN,#bdd7e7,-2,#eff3ff,-6.76
Mississippi,6,0,1289939,56.17,43.0,0.83,724597,554662,10680,0,0,0.0,13.17,MS,#fee5d9,1,#fee5d9,-6.52
Missouri,11,0,2929111,49.36,49.23,1.41,1445814,1441911,41386,0,0,0.0,0.13,MO,#fee5d9,1,#fee5d9,-7.07
Montana,3,0,492750,49.49,47.11,3.4,243882,232159,16709,0,0,0.0,2.38,MT,#fee5d9,1,#fcae91,-18.13
Nebraska,4,1,801281,56.53,41.6,1.87,452979,333319,14983,0,0,0.0,14.93,NE,#fee5d9,1,#fb6a4a,-18.29
Nevada,0,5,967848,42.65,55.15,2.2,412827,533736,21285,0,0,0.0,-12.5,NV,#bdd7e7,-2,#fee5d9,-15.09
New Hampshire,0,4,710970,44.52,54.13,1.35,316534,384826,9610,0,0,0.0,-9.61,NH,#eff3ff,-1,#eff3ff,-8.24
New Jersey,0,15,3877407,41.61,57.14,1.25,1613207,2215422,48778,0,0,0.0,-15.53,NJ,#bdd7e7,-2,#eff3ff,-8.84
New Mexico,0,5,830158,41.78,56.91,1.31,346832,472422,10904,0,0,0.0,-15.13,NM,#bdd7e7,-2,#fee5d9,-15.92
New York,0,31,7640948,36.03,62.88,1.09,2752771,4804945,83232,0,0,0.0,-26.85,NY,#6baed6,-3,#bdd7e7,-8.57
North Carolina,0,15,4310789,49.38,49.7,0.92,2128474,2142651,39664,0,0,0.0,-0.32,NC,#eff3ff,-1,#fee5d9,-12.76
North Dakota,3,0,317738,53.15,44.5,2.35,168887,141403,7448,0,0,0.0,8.65,ND,#fee5d9,1,#fcae91,-18.71
Ohio,0,20,5721831,46.8,51.38,1.82,2677820,2940044,103967,0,0,0.0,-4.58,OH,#eff3ff,-1,#fee5d9,-6.68
Oklahoma,7,0,1462661,65.65,34.35,0.0,960165,502496,0,0,0,0.0,31.3,OK,#fb6a4a,3,#fb6a4a,0.16
Oregon,0,7,1827864,40.4,56.75,2.85,738475,1037291,52098,0,0,0.0,-16.35,OR,#bdd7e7,-2,#eff3ff,-12.19
Pennsylvania,0,21,6015476,44.15,54.47,1.38,2655885,3276363,83228,0,0,0.0,-10.32,PA,#bdd7e7,-2,#eff3ff,-7.82
Rhode Island,0,4,471766,35.06,62.86,2.08,165391,296571,9804,0,0,0.0,-27.8,RI,#6baed6,-3,#6baed6,-7.05
South Carolina,8,0,1920969,53.87,44.9,1.23,1034896,862449,23624,0,0,0.0,8.97,SC,#fee5d9,1,#fee5d9,-8.11
South Dakota,3,0,381975,53.16,44.75,2.09,203054,170924,7997,0,0,0.0,8.41,SD,#fee5d9,1,#fcae91,-13.06
Tennessee,11,0,2601982,56.85,41.79,1.36,1479178,1087437,35367,0,0,0.0,15.06,TN,#fee5d9,1,#fee5d9,0.76
Texas,34,0,8087791,55.38,43.63,0.99,4479328,3528633,79830,0,0,0.0,11.75,TX,#fee5d9,1,#fcae91,-11.12
Utah,5,0,958996,62.15,34.17,3.68,596030,327670,35296,0,0,0.0,27.98,UT,#fcae91,2,#de2d26,-17.56
Vermont,0,3,325046,30.45,67.46,2.09,98974,219262,6810,0,0,0.0,-37.01,VT,#3182bd,-4,#6baed6,-16.87
Virginia,0,13,3723260,46.33,52.63,1.04,1725005,1959532,38723,0,0,0.0,-6.3,VA,#eff3ff,-1,#fee5d9,-14.5
Washington,0,11,3053261,40.26,57.34,2.4,1229216,1750848,73197,0,0,0.0,-17.08,WA,#bdd7e7,-2,#eff3ff,-9.91
West Virginia,5,0,715123,55.58,42.49,1.93,397466,303857,13800,0,0,0.0,13.09,WV,#fee5d9,1,#fee5d9,0.23
Wisconsin,0,10,2983417,42.31,56.22,1.47,1262393,1677211,43813,0,0,0.0,-13.91,WI,#bdd7e7,-2,#eff3ff,-13.53
Wyoming,3,0,254658,64.78,32.54,2.68,164958,82868,6832,0,0,0.0,32.24,WY,#fb6a4a,3,#fb6a4a,-7.55
