State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
North Dakota,3,0,301545,64.23,26.26,7.84,1.67,193695,79189,23640,5021,0,37.97,ND,#fb6a4a,3,#fee5d9,32.11
Ohio,25,0,4283603,51.51,40.91,5.94,1.64,2206545,1752414,254472,70172,0,10.6,OH,#fee5d9,1,#eff3ff,10.87
Oklahoma,8,0,1149708,60.5,34.97,3.33,1.2,695570,402026,38284,13828,0,25.53,OK,#fcae91,2,#fee5d9,24.32
Oregon,6,0,1181516,48.33,38.67,9.51,3.49,571044,456890,112389,41193,0,9.66,OR,#fee5d9,1,#fee5d9,9.5
Pennsylvania,27,0,4561501,49.59,42.48,6.42,1.51,2261872,1937540,292921,69168,0,7.11,PA,#fee5d9,1,#eff3ff,9.78
Rhode Island,0,4,416072,37.2,47.67,14.38,0.75,154793,198342,59819,3118,0,-10.47,RI,#bdd7e7,-2,#bdd7e7,0.81
South Carolina,8,0,890083,49.57,48.04,1.59,0.8,441207,427560,14150,7166,0,1.53,SC,#fee5d9,1,#bdd7e7,14.57
South Dakota,4,0,327703,60.53,31.69,6.54,1.24,198343,103855,21431,4074,0,28.84,SD,#fcae91,2,#fee5d9,27.36
Tennessee,10,0,1617616,48.7,48.41,2.22,0.67,787761,783051,35991,10813,0,0.29,TN,#fee5d9,1,#bdd7e7,13.29
Texas,26,0,4541637,55.28,41.42,2.46,0.84,2510705,1881147,111613,38172,0,13.86,TX,#fee5d9,1,#eff3ff,17.03
Utah,4,0,604222,72.77,20.57,5.01,1.65,439687,124266,30284,9985,0,52.2,UT,#a50f15,5,#fcae91,23.41
Vermont,3,0,213207,44.37,38.41,14.9,2.32,94598,81891,31760,4958,0,5.96,VT,#fee5d9,1,#fee5d9,-5.24
Virginia,12,0,1866032,53.03,40.31,5.11,1.55,989609,752174,95418,28831,0,12.72,VA,#fee5d9,1,#fee5d9,11.39
Washington,9,0,1742394,49.66,37.32,10.62,2.4,865244,650193,185073,41884,0,12.34,WA,#fee5d9,1,#fee5d9,8.45
West Virginia,0,6,737715,45.3,49.81,4.3,0.59,334206,367462,31691,4356,0,-4.51,WV,#eff3ff,-1,#bdd7e7,11.63
Wisconsin,11,0,2273221,47.9,43.18,7.07,1.85,1088845,981584,160657,42135,0,4.72,WI,#fee5d9,1,#eff3ff,6.39
Wyoming,3,0,176713,62.64,27.97,6.83,2.56,110700,49427,12072,4514,0,34.67,WY,#fb6a4a,3,#fee5d9,15.18
