State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,0,10,689817,0,69.45,30.55,0,479085,210732,0,0,0,69.45,AL,#a50f15,5,#bdd7e7,83.68
Alaska,3,0,67259,65.91,34.09,0,44329,22930,0,0,0,0,-31.82,AK,#3182bd,-4,#fee5d9,-33.7
Arizona,0,5,480770,49.45,50.45,0.1,237753,242535,482,0,0,0,1,AZ,#fee5d9,1,#fee5d9,-10.16
Arkansas,6,0,560426,56.06,43.41,0.53,314197,243264,2965,0,0,0,-12.65,AR,#bdd7e7,-2,#eff3ff,-5.52
California,40,0,7057586,59.11,40.79,0.1,4171877,2879108,6601,0,0,0,-18.32,CA,#bdd7e7,-2,#fee5d9,-18.87
Colorado,6,0,776986,61.27,38.19,0.54,476024,296767,4195,0,0,0,-23.08,CO,#6baed6,-3,#fee5d9,-32.8
Connecticut,8,0,1218578,67.81,32.09,0.1,826269,390996,1313,0,0,0,-35.72,CT,#3182bd,-4,#eff3ff,-28.26
Delaware,3,0,201320,60.95,38.78,0.27,122704,78078,538,0,0,0,-22.17,DE,#6baed6,-3,#eff3ff,-20.54
D. C.,3,0,198597,85.5,14.5,0,169796,28801,0,0,0,0,-71,DC,#08519c,-5,transparent,-74.02
Florida,14,0,1854481,51.15,48.85,0,948540,905941,0,0,0,0,-2.3,FL,#eff3ff,-1,#6baed6,22.81
Georgia,0,12,1139336,45.87,54.12,0.01,522557,616584,195,0,0,0,8.25,GA,#fee5d9,1,#eff3ff,8.31
Hawaii,4,0,207271,78.76,21.24,0,163249,44022,0,0,0,0,-57.52,HI,#08519c,-5,#fee5d9,-65.08
Idaho,4,0,292477,50.92,49.08,0,148920,143557,0,0,0,0,-1.84,ID,#eff3ff,-1,#eff3ff,-1.66
Illinois,26,0,4702841,59.47,40.53,0,2796833,1905946,62,0,0,0,-18.94,IL,#bdd7e7,-2,#fee5d9,-29.37
Indiana,13,0,2091606,55.98,43.56,0.46,1170848,911118,9640,0,0,0,-12.42,IN,#bdd7e7,-2,#fee5d9,-25.91
Iowa,9,0,1184539,61.88,37.92,0.2,733030,449148,2361,0,0,0,-23.96,IA,#6baed6,-3,#fcae91,-45.31
Kansas,7,0,857901,54.09,45.06,0.85,464028,386579,7294,0,0,0,-9.03,KS,#eff3ff,-1,#fee5d9,-16.21
Kentucky,9,0,1046105,64.01,35.65,0.34,669659,372977,3469,0,0,0,-28.36,KY,#6baed6,-3,#6baed6,-6.53
Louisiana,0,10,896293,43.19,56.81,0,387068,509225,0,0,0,0,13.62,LA,#fee5d9,1,#fee5d9,-0.48
Maine,4,0,381221,68.8,31.14,0.06,262264,118701,256,0,0,0,-37.66,ME,#3182bd,-4,#eff3ff,-30.44
Maryland,10,0,1116457,65.47,34.53,0,730912,385495,50,0,0,0,-30.94,MD,#3182bd,-4,#6baed6,-10.27
Massachusetts,14,0,2344798,76.19,23.44,0.37,1786422,549727,8649,0,0,0,-52.75,MA,#08519c,-5,#eff3ff,-50.74
Michigan,21,0,3203102,66.7,33.1,0.2,2136615,1060152,6335,0,0,0,-33.6,MI,#3182bd,-4,#eff3ff,-32.18
Minnesota,10,0,1554462,63.76,36,0.24,991117,559624,3721,0,0,0,-27.76,MN,#6baed6,-3,#bdd7e7,-16.09
Mississippi,0,7,409146,12.86,87.14,0,52618,356528,0,0,0,0,74.28,MS,#a50f15,5,#eff3ff,74.8
Missouri,12,0,1817879,64.05,35.95,0,1164344,653535,0,0,0,0,-28.1,MO,#6baed6,-3,#fee5d9,-30.6
Montana,4,0,278628,58.95,40.57,0.48,164246,113032,1350,0,0,0,-18.38,MT,#bdd7e7,-2,#fcae91,-42.52
Nebraska,5,0,584154,52.61,47.39,0,307307,276847,0,0,0,0,-5.22,NE,#eff3ff,-1,#eff3ff,-2.9
Nevada,3,0,135433,58.58,41.42,0,79339,56094,0,0,0,0,-17.16,NV,#bdd7e7,-2,#fee5d9,-24
New Hampshire,4,0,288093,63.89,36.11,0,184064,104029,0,0,0,0,-27.78,NH,#6baed6,-3,#eff3ff,-26.98
New Jersey,17,0,2846770,65.61,33.86,0.53,1867671,963843,15256,0,0,0,-31.75,NJ,#3182bd,-4,#eff3ff,-31.01
New Mexico,4,0,327615,59.22,40.24,0.54,194017,131838,1760,0,0,0,-18.98,NM,#bdd7e7,-2,#eff3ff,-13.72
