State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
New York,43,0,7166015,68.56,31.31,0.13,4913156,2243559,9300,0,0,0,-37.25,NY,#3182bd,-4,#eff3ff,-33.03
North Carolina,13,0,1424983,56.15,43.85,0,800139,624844,0,0,0,0,-12.3,NC,#bdd7e7,-2,#fee5d9,-23.2
North Dakota,4,0,258389,57.97,41.88,0.15,149784,108207,398,0,0,0,-16.09,ND,#bdd7e7,-2,#fee5d9,-22.65
Ohio,26,0,3969196,62.94,37.06,0,2498331,1470865,0,0,0,0,-25.88,OH,#6baed6,-3,#fee5d9,-43.92
Oklahoma,8,0,932499,55.75,44.25,0,519834,412665,0,0,0,0,-11.5,OK,#bdd7e7,-2,#fee5d9,-16.74
Oregon,6,0,786305,63.72,35.96,0.32,501017,282779,2509,0,0,0,-27.76,OR,#6baed6,-3,#eff3ff,-25.44
Pennsylvania,29,0,4822690,64.92,34.7,0.38,3130954,1673657,18079,0,0,0,-30.22,PA,#3182bd,-4,#6baed6,-2.96
Rhode Island,4,0,390091,80.87,19.13,0,315463,74615,13,0,0,0,-61.74,RI,#08519c,-5,#eff3ff,-59.26
South Carolina,0,8,524756,41.1,58.89,0.01,215700,309048,8,0,0,0,17.79,SC,#fee5d9,1,#fee5d9,1.37
South Dakota,4,0,293118,55.61,44.39,0,163010,130108,0,0,0,0,-11.22,SD,#bdd7e7,-2,#fee5d9,-18.37
Tennessee,11,0,1143946,55.5,44.49,0.01,634947,508965,34,0,0,0,-11.01,TN,#bdd7e7,-2,#eff3ff,-9.01
Texas,25,0,2626811,63.32,36.49,0.19,1663185,958566,5060,0,0,0,-26.83,TX,#6baed6,-3,#fee5d9,-36.47
Utah,4,0,400310,54.86,45.14,0,219628,180682,0,0,0,0,-9.72,UT,#eff3ff,-1,#fee5d9,-27.02
Vermont,3,0,163089,66.3,33.69,0.01,108127,54942,20,0,0,0,-32.61,VT,#3182bd,-4,#fee5d9,-38.08
Virginia,12,0,1042267,53.54,46.18,0.28,558038,481334,2895,0,0,0,-7.36,VA,#eff3ff,-1,#fee5d9,-9.77
Washington,9,0,1258556,61.97,37.37,0.66,779881,470366,8309,0,0,0,-24.6,WA,#6baed6,-3,#eff3ff,-19.14
West Virginia,7,0,792040,67.94,32.06,0,538087,253953,0,0,0,0,-35.88,WV,#3182bd,-4,#fee5d9,-39.6
Wisconsin,12,0,1691815,62.09,37.74,0.17,1050424,638495,2896,0,0,0,-24.35,WI,#6baed6,-3,#fee5d9,-34.37
Wyoming,3,0,142716,56.56,43.44,0,80718,61998,0,0,0,0,-13.12,WY,#bdd7e7,-2,#fee5d9,-13.12
