State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,11,0,244743,81.28,18.2,0.52,198918,44540,1285,0,0,0,-63.08,AL,#08519c,-5,#08519c,7.8
Arizona,4,0,137634,58.8,40.9,0.3,80926,56287,421,0,0,0,-17.9,AZ,#bdd7e7,-2,#6baed6,9.58
Arkansas,9,0,212954,69.95,29.84,0.21,148965,63551,438,0,0,0,-40.11,AR,#08519c,-5,#08519c,17.93
California,25,0,3520875,56.48,42.97,0.55,1988564,1512965,19346,0,0,0,-13.51,CA,#bdd7e7,-2,#bdd7e7,2.59
Colorado,0,6,505039,46.4,53.21,0.39,234331,268731,1977,0,0,0,6.81,CO,#fee5d9,1,#fee5d9,4.26
Connecticut,8,0,831990,52.3,46.94,0.76,435146,390527,6317,0,0,0,-5.36,CT,#eff3ff,-1,#eff3ff,1.78
Delaware,3,0,125361,54.38,45.27,0.35,68166,56747,448,0,0,0,-9.11,DE,#eff3ff,-1,#eff3ff,0.54
Florida,8,0,482592,70.32,29.68,0,339377,143215,0,0,0,0,-40.64,FL,#08519c,-5,#08519c,7.38
Georgia,12,0,328109,81.74,18.25,0.01,268187,59880,42,0,0,0,-63.49,GA,#08519c,-5,#08519c,6.53
Idaho,4,0,208321,51.55,48.07,0.38,107399,100137,785,0,0,0,-3.48,ID,#eff3ff,-1,#eff3ff,5.57
Illinois,28,0,4036061,51.52,48.05,0.43,2079479,1939314,17268,0,0,0,-3.47,IL,#eff3ff,-1,#eff3ff,-1.04
Indiana,0,13,1672091,46.73,52.38,0.89,781403,875891,14797,0,0,0,5.65,IN,#fee5d9,1,#fee5d9,4.23
Iowa,0,10,1052599,47.49,51.99,0.52,499876,547267,5456,0,0,0,4.5,IA,#fee5d9,1,#fee5d9,0.09
Kansas,0,8,733776,39.18,60.25,0.57,287458,442096,4222,0,0,0,21.07,KS,#fcae91,2,#fee5d9,6.61
Kentucky,11,0,867921,54.45,45.22,0.33,472589,392448,2884,0,0,0,-9.23,KY,#eff3ff,-1,#bdd7e7,5.92
Louisiana,10,0,349383,80.59,19.39,0.02,281564,67750,69,0,0,0,-61.2,LA,#08519c,-5,#08519c,10.59
Maine,0,5,296400,47.45,52.44,0.11,140631,155434,335,0,0,0,4.99,ME,#fee5d9,1,#fee5d9,2.66
Maryland,8,0,608439,51.85,48.15,0,315490,292949,0,0,0,0,-3.7,MD,#eff3ff,-1,#bdd7e7,13.72
Massachusetts,16,0,1960665,52.8,46.99,0.21,1035296,921350,4019,0,0,0,-5.81,MA,#eff3ff,-1,#eff3ff,0.94
Michigan,19,0,2205223,50.19,49.18,0.63,1106899,1084423,13901,0,0,0,-1.01,MI,#eff3ff,-1,#fee5d9,-1.34
Minnesota,11,0,1125529,52.41,46.86,0.73,589864,527416,8249,0,0,0,-5.55,MN,#eff3ff,-1,#eff3ff,-1.72
Mississippi,9,0,180080,93.56,6.44,0,168479,11601,0,0,0,0,-87.12,MS,#08519c,-5,#08519c,4.39
Missouri,15,0,1572474,51.37,48.43,0.2,807804,761524,3146,0,0,0,-2.94,MO,#eff3ff,-1,#eff3ff,1.83
Montana,4,0,207355,54.28,44.93,0.79,112556,93163,1636,0,0,0,-9.35,MT,#eff3ff,-1,#bdd7e7,9.26
Nebraska,0,6,563126,41.42,58.58,0,233246,329880,0,0,0,0,17.16,NE,#fee5d9,1,#fee5d9,2.78
Nevada,3,0,54234,54.62,45.38,0,29623,24611,0,0,0,0,-9.24,NV,#eff3ff,-1,#6baed6,10.92
New Hampshire,4,0,229627,52.11,47.87,0.02,119663,109916,48,0,0,0,-4.24,NH,#eff3ff,-1,#eff3ff,2.2
New Jersey,16,0,1963761,50.31,48.95,0.74,987874,961335,14552,0,0,0,-1.36,NJ,#eff3ff,-1,#eff3ff,2.26
New Mexico,4,0,152225,53.47,46.44,0.09,81389,70688,148,0,0,0,-7.03,NM,#eff3ff,-1,#bdd7e7,6.28
New York,47,0,6316817,52.31,47.3,0.39,3304238,2987647,24932,0,0,0,-5.01,NY,#eff3ff,-1,#eff3ff,-1.46
North Carolina,14,0,790554,66.71,33.29,0,527399,263155,0,0,0,0,-33.42,NC,#3182bd,-4,#08519c,14.64
North Dakota,0,4,220171,45.48,53.84,0.68,100144,118535,1492,0,0,0,8.36,ND,#fee5d9,1,#fee5d9,-2.52
Ohio,0,25,3153056,49.82,50.18,0,1570763,1582293,0,0,0,0,0.36,OH,#fee5d9,1,#eff3ff,4.76
Oklahoma,10,0,722636,55.57,44.2,0.23,401549,319424,1663,0,0,0,-11.37,OK,#bdd7e7,-2,#bdd7e7,3.81
Oregon,6,0,480147,51.78,46.94,1.28,248635,225365,6147,0,0,0,-4.84,OR,#eff3ff,-1,#eff3ff,3.24
Pennsylvania,35,0,3794793,51.14,48.36,0.5,1940479,1835054,19260,0,0,0,-2.78,PA,#eff3ff,-1,#eff3ff,4.12
Rhode Island,4,0,299276,58.59,41.26,0.15,175356,123487,433,0,0,0,-17.33,RI,#bdd7e7,-2,#bdd7e7,-3.77
South Carolina,8,0,103375,87.64,4.46,7.9,90601,4610,8164,0,0,0,-83.18,SC,#08519c,-5,#08519c,8.08
South Dakota,0,4,232076,41.67,58.33,0,96711,135365,0,0,0,0,16.66,SD,#fee5d9,1,#fee5d9,1.84
Tennessee,12,0,510692,60.45,39.22,0.33,308707,200311,1674,0,0,0,-21.23,TN,#6baed6,-3,#3182bd,13.67
Texas,23,0,1150331,71.42,16.64,11.94,821605,191425,137301,0,0,0,-54.78,TX,#08519c,-5,#08519c,7.23
Utah,4,0,248319,60.44,39.42,0.14,150088,97891,340,0,0,0,-21.02,UT,#6baed6,-3,#6baed6,3.64
Vermont,0,3,125361,42.93,57.06,0.01,53820,71527,14,0,0,0,14.13,VT,#fee5d9,1,#fee5d9,4.27
Virginia,11,0,388485,62.36,37.39,0.25,242276,145243,966,0,0,0,-24.97,VA,#6baed6,-3,#3182bd,11.56
Washington,8,0,856328,56.84,42.24,0.92,486774,361689,7865,0,0,0,-14.6,WA,#bdd7e7,-2,#bdd7e7,3.04
West Virginia,8,0,715596,54.89,45.11,0,392777,322819,0,0,0,0,-9.78,WV,#eff3ff,-1,#bdd7e7,4.42
Wisconsin,0,12,1339152,48.57,50.37,1.06,650413,674532,14207,0,0,0,1.8,WI,#fee5d9,1,#eff3ff,3.63
Wyoming,0,3,101340,48.77,51.23,0,49419,51921,0,0,0,0,2.46,WY,#fee5d9,1,#eff3ff,8.39
D. C.,0,0,0,0,0,100,0,0,0,0,0,0,0,DC,transparent,1,transparent,0
Alaska,0,0,0,0,0,100,0,0,0,0,0,0,0,AK,transparent,1,transparent,0
Hawaii,0,0,0,0,0,100,0,0,0,0,0,0,0,HI,transparent,1,transparent,0
