State,EV_D,EV_R,Total_Vote,D_Percen,R_Percen,Other_Percen,D_Actual,R_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
South Carolina,8,0,802594,56.17,43.13,0.7,450825,346140,5629,0,0,0.0,-13.04,SC,#bdd7e7,-2,#de2d26,-55.7
South Dakota,0,4,300678,48.91,50.39,0.7,147068,151505,2105,0,0,0.0,1.48,SD,#fee5d9,1,#fee5d9,-7.15
Tennessee,10,0,1476346,55.94,42.94,1.12,825879,633969,16498,0,0,0.0,-13.0,TN,#bdd7e7,-2,#fb6a4a,-50.95
Texas,26,0,4071884,51.14,47.97,0.89,2082319,1953300,36265,0,0,0.0,-3.17,TX,#eff3ff,-1,#fb6a4a,-36.13
Utah,0,4,541198,33.65,62.44,3.91,182110,337908,21180,0,0,0.0,28.79,UT,#fcae91,2,#de2d26,-12.46
Vermont,0,3,187855,43.14,54.34,2.52,81044,102085,4726,0,0,0.0,11.2,VT,#fee5d9,1,#fcae91,-14.99
Virginia,0,12,1697094,47.96,49.29,2.75,813896,836554,46644,0,0,0.0,1.33,VA,#fee5d9,1,#fb6a4a,-36.39
Washington,0,8,1555534,46.11,50.0,3.89,717323,777732,60479,0,0,0.0,3.89,WA,#fee5d9,1,#fee5d9,-14.39
West Virginia,6,0,750674,58.07,41.93,0.0,435914,314760,0,0,0,0.0,-16.14,WV,#bdd7e7,-2,#fcae91,-43.36
Wisconsin,11,0,2101336,49.5,47.83,2.67,1040232,1004987,56117,0,0,0.0,-1.67,WI,#eff3ff,-1,#fee5d9,-11.35
Wyoming,0,3,156343,39.81,59.3,0.89,62239,92717,1387,0,0,0.0,19.49,WY,#fee5d9,1,#fb6a4a,-19.05
