State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Missouri,11,0,2731364,53.3,46.1,0.6,1455713,1259171,16480,0,0,0,7.2,MO,#fee5d9,1,#fee5d9,3.86
Montana,3,0,450445,59.07,38.56,2.37,266063,173710,10672,0,0,0,20.51,MT,#fcae91,2,#fcae91,-4.57
Nebraska,5,0,778186,65.9,32.68,1.42,512814,254328,11044,0,0,0,33.22,NE,#fb6a4a,3,#fcae91,4.22
Nevada,5,0,829587,50.47,47.88,1.65,418690,397190,13707,0,0,0,2.59,NV,#fee5d9,1,#fee5d9,-0.95
New Hampshire,0,4,677738,48.87,50.24,0.89,331237,340511,5990,0,0,0,-1.37,NH,#eff3ff,-1,#fee5d9,-2.64
New Jersey,0,15,3612137,46.23,52.92,0.85,1670003,1911430,30704,0,0,0,-6.69,NJ,#eff3ff,-1,#bdd7e7,9.15
New Mexico,5,0,756304,49.84,49.05,1.11,376930,370942,8432,0,0,0,0.79,NM,#fee5d9,1,#eff3ff,0.85
New York,0,31,7391954,40.08,58.36,1.56,2962567,4314280,115107,0,0,0,-18.28,NY,#bdd7e7,-2,#6baed6,6.72
North Carolina,15,0,3501007,56.02,43.58,0.4,1961166,1525849,13992,0,0,0,12.44,NC,#fee5d9,1,#fee5d9,-0.39
North Dakota,3,0,312833,62.86,35.5,1.64,196651,111052,5130,0,0,0,27.36,ND,#fcae91,2,#fcae91,-0.25
Ohio,20,0,5627908,50.81,48.71,0.48,2859768,2741167,26973,0,0,0,2.1,OH,#fee5d9,1,#fee5d9,-1.41
Oklahoma,7,0,1463758,65.57,34.43,0,959792,503966,0,0,0,0,31.14,OK,#fb6a4a,3,#fcae91,9.26
Oregon,0,7,1836782,47.19,51.35,1.46,866831,943163,26788,0,0,0,-4.16,OR,#eff3ff,-1,#eff3ff,-3.72
Pennsylvania,0,21,5769590,48.42,50.92,0.66,2793847,2938095,37648,0,0,0,-2.5,PA,#eff3ff,-1,#eff3ff,1.67
Rhode Island,0,4,437134,38.67,59.42,1.91,169046,259760,8328,0,0,0,-20.75,RI,#6baed6,-3,#6baed6,8.33
South Carolina,8,0,1617730,57.98,40.9,1.12,937974,661699,18057,0,0,0,17.08,SC,#fee5d9,1,#fee5d9,1.16
South Dakota,3,0,388215,59.91,38.44,1.65,232584,149244,6387,0,0,0,21.47,SD,#fcae91,2,#fcae91,-1.27
Tennessee,11,0,2434949,56.81,42.51,0.68,1383336,1035160,16453,0,0,0,14.3,TN,#fee5d9,1,#fee5d9,10.43
Texas,34,0,7410765,61.09,38.22,0.69,4526917,2832704,51144,0,0,0,22.87,TX,#fcae91,2,#fcae91,1.55
Utah,5,0,927844,71.54,26,2.46,663742,241199,22903,0,0,0,45.54,UT,#de2d26,4,#de2d26,5.05
Vermont,0,3,312309,38.8,58.94,2.26,121180,184067,7062,0,0,0,-20.14,VT,#6baed6,-3,#eff3ff,-10.21
Virginia,13,0,3198367,53.68,45.48,0.84,1716959,1454742,26666,0,0,0,8.2,VA,#fee5d9,1,#fee5d9,0.17
Washington,0,11,2861713,45.6,52.77,1.63,1304894,1510201,46618,0,0,0,-7.17,WA,#eff3ff,-1,#eff3ff,-1.6
West Virginia,5,0,755887,56.06,43.2,0.74,423778,326541,5568,0,0,0,12.86,WV,#fee5d9,1,#fee5d9,6.53
Wisconsin,0,10,2997007,49.32,49.7,0.98,1478120,1489504,29383,0,0,0,-0.38,WI,#eff3ff,-1,#eff3ff,-0.16
Wyoming,3,0,243428,68.86,29.07,2.07,167629,70776,5023,0,0,0,39.79,WY,#fb6a4a,3,#de2d26,-0.27
