State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,EV_I,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1883449,62.46,36.84,0.7,1176394,693933,13122,0,0,0,25.62,AL,#fcae91,2,#fee5d9,10.74
Alaska,3,0,312598,61.07,35.52,3.41,190889,111025,10684,0,0,0,25.55,AK,#fcae91,2,#fb6a4a,-5.4
Arizona,10,0,2016102,54.77,44.32,0.91,1104294,893524,18284,0,0,0,10.45,AZ,#fee5d9,1,#fee5d9,4.17
Arkansas,6,0,1054945,54.31,44.55,1.14,572898,469953,12094,0,0,0,9.76,AR,#fee5d9,1,#fee5d9,4.31
California,0,55,12421859,44.36,54.3,1.34,5509826,6745485,166548,0,0,0,-9.94,CA,#eff3ff,-1,#bdd7e7,1.86
Colorado,9,0,2130325,51.69,47.02,1.29,1101256,1001725,27344,0,0,0,4.67,CO,#fee5d9,1,#fee5d9,-3.69
Connecticut,0,7,1578769,43.95,54.31,1.74,693826,857488,27455,0,0,0,-10.36,CT,#bdd7e7,-2,#bdd7e7,7.11
Delaware,0,3,375270,45.74,53.34,0.92,171660,200152,3458,0,0,0,-7.6,DE,#eff3ff,-1,#bdd7e7,5.46
D. C.,0,3,227586,9.34,89.18,1.48,21256,202970,3360,0,0,0,-79.84,DC,#08519c,-5,#08519c,-3.63
Florida,27,0,7609810,52.1,47.09,0.81,3964522,3583544,61744,0,0,0,5.01,FL,#fee5d9,1,#fee5d9,5
Georgia,15,0,3304481,57.93,41.34,0.73,1914254,1366149,24078,0,0,0,16.59,GA,#fee5d9,1,#fee5d9,4.9
Hawaii,0,4,429013,45.26,54.01,0.73,194191,231708,3114,0,0,0,-8.75,HI,#eff3ff,-1,#bdd7e7,9.58
Idaho,4,0,598447,68.38,30.26,1.36,409235,181098,8114,0,0,0,38.12,ID,#fb6a4a,3,#fb6a4a,-1.41
Illinois,0,21,5274322,44.48,54.82,0.7,2345946,2891550,36826,0,0,0,-10.34,IL,#bdd7e7,-2,#bdd7e7,1.68
Indiana,11,0,2468002,59.94,39.26,0.8,1479438,969011,19553,0,0,0,20.68,IN,#fcae91,2,#fee5d9,5.04
Iowa,7,0,1506908,49.9,49.23,0.87,751957,741898,13053,0,0,0,0.67,IA,#fee5d9,1,#eff3ff,0.99
Kansas,6,0,1187756,62,36.62,1.38,736456,434993,16307,0,0,0,25.38,KS,#fcae91,2,#fcae91,4.58
Kentucky,8,0,1796079,59.54,39.68,0.78,1069439,712733,13907,0,0,0,19.86,KY,#fee5d9,1,#fee5d9,4.73
Louisiana,9,0,1943106,56.72,42.22,1.06,1102169,820299,20638,0,0,0,14.5,LA,#fee5d9,1,#fee5d9,6.83
Maine,0,4,740752,44.58,53.57,1.85,330201,396842,13709,0,0,0,-8.99,ME,#eff3ff,-1,#eff3ff,-3.87
Maryland,0,10,2386678,42.93,55.91,1.16,1024703,1334493,27482,0,0,0,-12.98,MD,#bdd7e7,-2,#bdd7e7,3.41
Massachusetts,0,12,2912388,36.78,61.94,1.28,1071109,1803800,37479,0,0,0,-25.16,MA,#6baed6,-3,#6baed6,2.14
Michigan,0,17,4839252,47.81,51.23,0.96,2313746,2479183,46323,0,0,0,-3.42,MI,#eff3ff,-1,#eff3ff,1.72
Minnesota,0,9,2828387,47.61,51.09,1.3,1346695,1445014,36678,0,0,0,-3.48,MN,#eff3ff,-1,#eff3ff,-1.07
Mississippi,6,0,1152365,59.44,39.75,0.81,684981,458094,9290,0,0,0,19.69,MS,#fee5d9,1,#fee5d9,2.77
